"shop_id","type","title","avg_basket","total_ordered","num_orders","Latitude","Longitude","first_order_date"
650,Semi-Formel,Saj Al Ayache Poulet,3525.0,7050.0,2,"5.286822887343254",-3.9788903536823503,"2024-09-12"
655,Formel,Amore,63507.0,1143120.0,18,"5.284758524211274",-3.9743250937706818,"2024-05-23"
656,Formel,Abd Beach,38382.0,230295.0,6,"5.2268215",-4.2115234,"2024-05-21"
657,Formel,Restaurant Cheffe Konan,19935.0,558185.0,28,"5.3277510",-3.9586620,"2024-05-21"
658,Formel,Navy blue,11942.0,107480.5,9,"5.34636719345973",-3.997862567676869,"2024-09-07"
659,Informel,Garba chez Issouf,15500.0,15500.0,1,"5.389746",-3.975478,"2024-05-22"
660,Informel,Gislaine vision,8350.0,116900.0,14,"5.387850",-3.974853,"2024-05-21"
661,Informel,Gladiss allocodrome,3691.0,81200.0,22,"5.3378516",-3.9998939,"2024-05-22"
662,Informel,Adjoua allocodrome,3239.0,58300.0,18,"5.3380678",-3.9997568,"2024-05-22"
663,Informel,Josée allocodrome,1000.0,2000.0,2,"5.3381022",-3.9995955,"2024-05-24"
664,Informel,Bada,14577.0,510200.0,35,,,"2024-05-23"
665,Informel,Delice d’ébène,700.0,700.0,1,"5.3917199",-3.9923139,"2024-05-22"
666,Informel,Chez Kouassi,2250.0,4500.0,2,"5.403664682961289",-3.9852417837502156,"2024-05-22"
667,Informel,Chez Kouassi restaurant,8500.0,17000.0,2,"5.403799347623685",-3.9849010326116296,"2024-05-22"
668,Informel,Chez Géraldine,1717.0,5150.0,3,"5.4047299",-3.9917593,"2024-05-22"
669,Informel,Abraham,12231.0,318000.0,26,null,null,"2024-05-23"
671,Informel,Konan Martine,19255.0,712450.0,37,"5.3475775",-3.9763439,"2024-05-23"
672,Informel,Kelly allocodrome,9070.0,90700.0,10,"5.3379351",-3.9997276,"2024-05-23"
673,Formel,Restaurant 25/8,27238.0,136188.0,5,"5.403774",-3.987000,"2024-05-24"
674,Semi-Formel,Chez Madaud,9400.0,122201.0,13,"5.3800759",-3.9966053,"2024-06-05"
675,Semi-Formel,Heal Foody,7362.0,117790.0,16,"5.3800387",-3.9965736,"2024-05-27"
676,Informel,Bernabe,15892.0,190700.0,12,,,"2024-05-25"
677,Informel,Restuarant Yzy House,20756.0,311342.5,15,"5.4058998",-3.9765764,"2024-05-27"
678,Semi-Formel,Black Food,3200.0,3200.0,1,"5.388218256515143",-3.9747881860663488,"2024-06-03"
